School,G,W,L,W-L%,SRS,SOS,Conf. W,Conf. L,Home W,Home L,Road W,Road L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Purdue NCAA,36,26,10,0.722,21.4,11.99,16,4,15,0,6,6,2760,2421,1460,967,2145,0.451,365,977,0.374,461,641,0.719,421,1341,518,220,143,381,623
Quinnipiac,31,16,15,0.516,-6.77,-8.03,11,7,7,7,9,6,2294,2255,1270,739,1730,0.427,348,923,0.377,468,646,0.724,311,1111,393,159,62,415,524
Radford,33,22,11,0.667,1.28,-1.95,12,4,11,3,9,7,2440,2247,1330,893,1937,0.461,285,750,0.38,369,515,0.717,335,1169,467,196,101,358,528
Rhode Island,33,18,15,0.545,2.83,1.19,9,9,9,5,5,7,2293,2239,1335,821,1914,0.429,172,615,0.28,479,704,0.68,375,1194,401,235,129,405,586
Rice,32,13,19,0.406,-6.56,-2.06,8,10,9,7,4,11,2367,2481,1305,795,1861,0.427,277,793,0.349,500,729,0.686,316,1221,424,171,103,438,568
Richmond,33,13,20,0.394,-1.37,-0.79,6,12,7,10,4,7,2314,2333,1320,849,1800,0.472,251,723,0.347,365,552,0.661,196,957,519,249,101,336,488
Rider,31,16,15,0.516,-4.96,-6.51,11,7,9,3,6,10,2381,2333,1245,847,1892,0.448,222,651,0.341,465,755,0.616,363,1144,450,282,101,415,591
Robert Morris,35,18,17,0.514,-9.4,-7.61,11,7,13,4,5,13,2448,2403,1420,861,1991,0.432,280,789,0.355,446,638,0.699,373,1178,487,257,92,507,683
Rutgers,31,14,17,0.452,8.89,9.76,7,13,10,7,4,9,2105,2132,1250,771,1842,0.419,191,612,0.312,372,584,0.637,391,1210,390,201,124,408,566
Sacramento State,31,15,16,0.484,-8.78,-6.78,8,12,9,5,4,10,2197,2155,1250,806,1800,0.448,175,527,0.332,410,592,0.693,308,1051,431,239,104,404,566
