School,G,W,L,W-L%,SRS,SOS,Conf. W,Conf. L,Home W,Home L,Road W,Road L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
West Virginia,36,15,21,0.417,6.94,10.57,4,14,11,7,0,10,2655,2786,1460,901,2179,0.413,269,852,0.316,584,849,0.688,519,1424,488,223,125,557,708
Western Carolina,32,7,25,0.219,-9.28,0.34,4,14,4,8,3,14,2304,2563,1295,792,1744,0.454,296,800,0.37,424,628,0.675,303,1135,389,135,53,577,671
Western Illinois,31,10,21,0.323,-10.05,-5.18,4,12,7,6,2,14,2198,2272,1245,818,1859,0.44,241,626,0.385,321,440,0.73,254,1100,319,165,132,353,488
Western Kentucky,34,20,14,0.588,3.14,0.96,11,7,10,4,6,8,2429,2355,1380,853,1910,0.447,199,608,0.327,524,724,0.724,338,1256,417,235,174,466,527
Western Michigan,32,8,24,0.25,-6.26,1.48,2,16,5,9,2,14,2246,2439,1300,774,1822,0.425,228,723,0.315,470,681,0.69,345,1197,373,147,78,490,564
Wichita State,37,22,15,0.595,7.72,5.91,10,8,10,4,7,7,2609,2542,1485,929,2277,0.408,276,890,0.31,475,655,0.725,452,1417,499,174,135,446,706
William & Mary,31,14,17,0.452,-4.78,-2.08,10,8,9,5,5,11,2321,2385,1265,841,1773,0.474,254,735,0.346,385,576,0.668,251,1057,529,158,146,390,516
Winthrop,30,18,12,0.6,-2.89,-3.75,10,6,11,3,7,8,2499,2358,1210,855,1878,0.455,372,997,0.373,417,565,0.738,330,1232,460,134,83,456,534
Wisconsin NCAA,34,23,11,0.676,17.9,11.01,14,6,12,3,8,5,2333,2099,1385,874,1945,0.449,241,672,0.359,344,531,0.648,283,1197,430,177,140,327,511
Wofford NCAA,35,30,5,0.857,13.92,0.8,18,0,15,1,11,3,2879,2295,1410,1044,2132,0.49,385,929,0.414,406,577,0.704,365,1232,528,233,105,377,588
Wright State,35,21,14,0.6,3.29,-0.89,13,5,15,2,5,8,2561,2365,1405,885,2029,0.436,281,818,0.344,510,692,0.737,382,1230,483,214,72,402,545
Wyoming,32,8,24,0.25,-9.75,0.19,4,14,6,10,1,11,2105,2411,1285,690,1656,0.417,248,720,0.344,477,660,0.723,167,983,331,176,88,450,588
Xavier,35,19,16,0.543,9.61,8.06,9,9,13,5,4,8,2526,2472,1420,922,1977,0.466,245,740,0.331,437,644,0.679,371,1282,519,190,128,450,550
Yale NCAA,30,22,8,0.733,5.53,-1.23,10,4,11,2,8,5,2427,2202,1215,893,1812,0.493,230,634,0.363,411,557,0.738,259,1157,503,177,131,392,510
Youngstown State,32,12,20,0.375,-7.78,-2.05,8,10,6,7,5,11,2415,2526,1305,879,2059,0.427,303,893,0.339,354,505,0.701,418,1209,449,210,115,423,656
